name,onet_cd
"Pediatricians, General",29-1065.00
Electrical Engineers,17-2071.00
Fuel Cell Technicians,17-3029.10
"Title Examiners, Abstractors, and Searchers",23-2093.00
Graphic Designers,27-1024.00
Industrial Truck and Tractor Operators,53-7051.00
Home Health Aides,31-1011.00
Medical Secretaries,43-6013.00
First-Line Supervisors of Police and Detectives,33-1012.00
Automotive and Watercraft Service Attendants,53-6031.00
"Locker Room, Coatroom, and Dressing Room Attendants",39-3093.00
Compliance Officers,13-1041.00
Mechanical Engineers,17-2141.00
Massage Therapists,31-9011.00
"Recreation and Fitness Studies Teachers, Postsecondary",25-1193.00
Human Resources Specialists,13-1071.00
Electromechanical Equipment Assemblers,51-2023.00
Information Security Analysts,15-1122.00
Residential Advisors,39-9041.00
"Architects, Except Landscape and Naval",17-1011.00
Fitness and Wellness Coordinators,11-9039.02
Reinforcing Iron and Rebar Workers,47-2171.00
Advertising Sales Agents,41-3011.00
Orthodontists,29-1023.00
Equal Opportunity Representatives and Officers,13-1041.03
Postal Service Clerks,43-5051.00
Medical and Clinical Laboratory Technologists,29-2011.00
Conservation Scientists,19-1031.00
Probation Officers and Correctional Treatment Specialists,21-1092.00
Marine Architects,17-2121.02
Survey Researchers,19-3022.00
Signal and Track Switch Repairers,49-9097.00
Agricultural Inspectors,45-2011.00
Geothermal Production Managers,11-3051.02
Commercial Divers,49-9092.00
Funeral Service Managers,11-9061.00
Loan Interviewers and Clerks,43-4131.00
"Grinding and Polishing Workers, Hand",51-9022.00
"Media and Communication Workers, All Other",27-3099.00
"Claims Examiners, Property and Casualty Insurance",13-1031.01
Civil Drafters,17-3011.02
"Explosives Workers, Ordnance Handling Experts, and Blasters",47-5031.00
"Pilots, Ship",53-5021.03
Power Plant Operators,51-8013.00
"Farmworkers and Laborers, Crop",45-2092.02
Anthropologists,19-3091.01
"Agents and Business Managers of Artists, Performers, and Athletes",13-1011.00
Allergists and Immunologists,29-1069.01
Telecommunications Line Installers and Repairers,49-9052.00
Nanosystems Engineers,17-2199.09
Biochemists and Biophysicists,19-1021.00
"Engineering Teachers, Postsecondary",25-1032.00
Geographers,19-3092.00
Epidemiologists,19-1041.00
New Accounts Clerks,43-4141.00
Postal Service Mail Carriers,43-5052.00
Dental Laboratory Technicians,51-9081.00
Radio Frequency Identification Device Specialists,17-2072.01
Coroners,13-1041.06
"Health Specialties Teachers, Postsecondary",25-1071.00
Nursery and Greenhouse Managers,11-9013.01
"Refractory Materials Repairers, Except Brickmasons",49-9045.00
"Maintenance Workers, Machinery",49-9043.00
Municipal Firefighters,33-2011.01
Adapted Physical Education Specialists,25-2059.01
"Clinical, Counseling, and School Psychologists",19-3031.00
Mine Shuttle Car Operators,53-7111.00
"Mathematical Science Occupations, All Other",15-2099.00
"Food Processing Workers, All Other",51-3099.00
"Electronic Equipment Installers and Repairers, Motor Vehicles",49-2096.00
Biofuels Production Managers,11-3051.03
"Derrick Operators, Oil and Gas",47-5011.00
Bioinformatics Technicians,43-9111.01
"Health Diagnosing and Treating Practitioners, All Other",29-1199.00
Nuclear Equipment Operation Technicians,19-4051.01
Refrigeration Mechanics and Installers,49-9021.02
Waiters and Waitresses,35-3031.00
Dietitians and Nutritionists,29-1031.00
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4033.00
"Sawing Machine Setters, Operators, and Tenders, Wood",51-7041.00
Nuclear Medicine Technologists,29-2033.00
Electrical Drafters,17-3012.02
Nursing Assistants,31-1014.00
Telemarketers,41-9041.00
Nuclear Medicine Physicians,29-1069.05
Court Reporters,23-2091.00
Audio and Video Equipment Technicians,27-4011.00
"Painters, Construction and Maintenance",47-2141.00
Biologists,19-1020.01
Heavy and Tractor-Trailer Truck Drivers,53-3032.00
Couriers and Messengers,43-5021.00
Medical and Clinical Laboratory Technicians,29-2012.00
"Billing, Cost, and Rate Clerks",43-3021.02
"Directors- Stage, Motion Pictures, Television, and Radio",27-2012.02
Occupational Therapists,29-1122.00
Mechanical Engineering Technicians,17-3027.00
Animal Control Workers,33-9011.00
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",43-5111.00
Lodging Managers,11-9081.00
"Teachers and Instructors, All Other",25-3099.00
"Food Servers, Nonrestaurant",35-3041.00
Cabinetmakers and Bench Carpenters,51-7011.00
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",51-9051.00
Food Cooking Machine Operators and Tenders,51-3093.00
"Meeting, Convention, and Event Planners",13-1121.00
Database Architects,15-1199.06
Loss Prevention Managers,11-9199.08
Textile Bleaching and Dyeing Machine Operators and Tenders,51-6061.00
Compliance Managers,11-9199.02
"Cooks, Institution and Cafeteria",35-2012.00
Recreation Workers,39-9032.00
"Stock Clerks- Stockroom, Warehouse, or Storage Yard",43-5081.03
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4081.00
Broadcast Technicians,27-4012.00
"Metal Workers and Plastic Workers, All Other",51-4199.00
Coaches and Scouts,27-2022.00
Musical Instrument Repairers and Tuners,49-9063.00
Customer Service Representatives,43-4051.00
Water/Wastewater Engineers,17-2081.01
Counter and Rental Clerks,41-2021.00
Transportation Engineers,17-2051.01
Insurance Underwriters,13-2053.00
"Mail Clerks and Mail Machine Operators, Except Postal Service",43-9051.00
"Camera Operators, Television, Video, and Motion Picture",27-4031.00
Sales Engineers,41-9031.00
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",53-1021.00
"Office and Administrative Support Workers, All Other",43-9199.00
Telecommunications Engineering Specialists,15-1143.01
Computer User Support Specialists,15-1151.00
Social and Human Service Assistants,21-1093.00
Light Truck or Delivery Services Drivers,53-3033.00
Proofreaders and Copy Markers,43-9081.00
Video Game Designers,15-1199.11
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-4012.00
Solar Photovoltaic Installers,47-2231.00
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37-2011.00
Marketing Managers,11-2021.00
Demonstrators and Product Promoters,41-9011.00
"Office Clerks, General",43-9061.00
Database Administrators,15-1141.00
Set and Exhibit Designers,27-1027.00
Choreographers,27-2032.00
Rail Car Repairers,49-3043.00
"Coil Winders, Tapers, and Finishers",51-2021.00
Surgeons,29-1067.00
"Healthcare Support Workers, All Other",31-9099.00
Floor Sanders and Finishers,47-2043.00
"Model Makers, Metal and Plastic",51-4061.00
Sailors and Marine Oilers,53-5011.00
Conveyor Operators and Tenders,53-7011.00
"Construction and Related Workers, All Other",47-4099.00
Musicians and Singers,27-2042.00
Ophthalmologists,29-1069.06
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-9192.00
Gaming Managers,11-9071.00
Agricultural Equipment Operators,45-2091.00
"Combined Food Preparation and Serving Workers, Including Fast Food",35-3021.00
"Judges, Magistrate Judges, and Magistrates",23-1023.00
Distance Learning Coordinators,11-9039.01
Rail-Track Laying and Maintenance Equipment Operators,47-4061.00
Motorboat Mechanics and Service Technicians,49-3051.00
"Political Science Teachers, Postsecondary",25-1065.00
Elevator Installers and Repairers,47-4021.00
"Law Teachers, Postsecondary",25-1112.00
Furniture Finishers,51-7021.00
Slaughterers and Meat Packers,51-3023.00
Correctional Officers and Jailers,33-3012.00
Forensic Science Technicians,19-4092.00
Barbers,39-5011.00
"Agricultural Workers, All Other",45-2099.00
Atmospheric and Space Scientists,19-2021.00
Chief Sustainability Officers,11-1011.03
Licensing Examiners and Inspectors,13-1041.02
Environmental Economists,19-3011.01
Security and Fire Alarm Systems Installers,49-2098.00
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4032.00
"Painters, Transportation Equipment",51-9122.00
Food Science Technicians,19-4011.02
Fire Investigators,33-2021.02
"Layout Workers, Metal and Plastic",51-4192.00
"Biological Scientists, All Other",19-1029.00
Robotics Technicians,17-3024.01
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",49-2095.00
Architectural and Civil Drafters,17-3011.00
Manufactured Building and Mobile Home Installers,49-9095.00
Hazardous Materials Removal Workers,47-4041.00
Skincare Specialists,39-5094.00
First-Line Supervisors of Correctional Officers,33-1011.00
Motorboat Operators,53-5022.00
"Grounds Maintenance Workers, All Other",37-3019.00
Segmental Pavers,47-4091.00
"Geography Teachers, Postsecondary",25-1064.00
Preventive Medicine Physicians,29-1069.09
Hoist and Winch Operators,53-7041.00
Drywall and Ceiling Tile Installers,47-2081.00
Intelligence Analysts,33-3021.06
Highway Maintenance Workers,47-4051.00
"Cooks, All Other",35-2019.00
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",47-3014.00
"Airline Pilots, Copilots, and Flight Engineers",53-2011.00
Bakers,51-3011.00
"Hairdressers, Hairstylists, and Cosmetologists",39-5012.00
"Tank Car, Truck, and Ship Loaders",53-7121.00
Audiologists,29-1181.00
Aircraft Mechanics and Service Technicians,49-3011.00
"Information and Record Clerks, All Other",43-4199.00
"Helpers--Installation, Maintenance, and Repair Workers",49-9098.00
"Physicians and Surgeons, All Other",29-1069.00
First-Line Supervisors of Housekeeping and Janitorial Workers,37-1011.00
Program Directors,27-2012.03
"Directors, Religious Activities and Education",21-2021.00
Logisticians,13-1081.00
Compensation and Benefits Managers,11-3111.00
Plumbers,47-2152.02
Public Relations Specialists,27-3031.00
Paralegals and Legal Assistants,23-2011.00
Emergency Management Directors,11-9161.00
Film and Video Editors,27-4032.00
"Paper Goods Machine Setters, Operators, and Tenders",51-9196.00
Commercial Pilots,53-2012.00
"Education Administrators, Elementary and Secondary School",11-9032.00
Travel Guides,39-7012.00
"Education Administrators, All Other",11-9039.00
Ophthalmic Medical Technicians,29-2057.00
Travel Agents,41-3041.00
Automotive Master Mechanics,49-3023.01
Ship Engineers,53-5031.00
Payroll and Timekeeping Clerks,43-3051.00
"Entertainment Attendants and Related Workers, All Other",39-3099.00
Information Technology Project Managers,15-1199.09
Business Intelligence Analysts,15-1199.08
Occupational Therapy Assistants,31-2011.00
Engine and Other Machine Assemblers,51-2031.00
Farm Equipment Mechanics and Service Technicians,49-3041.00
Real Estate Sales Agents,41-9022.00
Human Resources Managers,11-3121.00
First-Line Supervisors of Construction Trades and Extraction Workers,47-1011.00
Music Therapists,29-1125.02
"Social Scientists and Related Workers, All Other",19-3099.00
Municipal Fire Fighting and Prevention Supervisors,33-1021.01
Packaging and Filling Machine Operators and Tenders,51-9111.00
Reservation and Transportation Ticket Agents and Travel Clerks,43-4181.00
Crossing Guards,33-9091.00
"Postsecondary Teachers, All Other",25-1199.00
"Engineers, All Other",17-2199.00
Storage and Distribution Managers,11-3071.02
Electrical and Electronics Drafters,17-3012.00
Recreational Therapists,29-1125.00
Marine Engineers,17-2121.01
Product Safety Engineers,17-2111.03
Electro-Mechanical Technicians,17-3024.00
Civil Engineering Technicians,17-3022.00
Speech-Language Pathologists,29-1127.00
Environmental Engineers,17-2081.00
Oral and Maxillofacial Surgeons,29-1022.00
Computer Network Architects,15-1143.00
"Elementary School Teachers, Except Special Education",25-2021.00
Agricultural Technicians,19-4011.01
Logistics Managers,11-3071.03
"Drafters, All Other",17-3019.00
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",51-4072.00
Commercial and Industrial Designers,27-1021.00
Veterinarians,29-1131.00
Baristas,35-3022.01
Budget Analysts,13-2031.00
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",51-9121.00
Structural Metal Fabricators and Fitters,51-2041.00
Nurse Practitioners,29-1171.00
First-Line Supervisors of Food Preparation and Serving Workers,35-1012.00
Park Naturalists,19-1031.03
Firefighters,33-2011.00
Agricultural Engineers,17-2021.00
Regulatory Affairs Specialists,13-1041.07
Recycling Coordinators,53-1021.01
"Vocational Education Teachers, Postsecondary",25-1194.00
Computer Operators,43-9011.00
"Ushers, Lobby Attendants, and Ticket Takers",39-3031.00
Legal Secretaries,43-6012.00
Printing Press Operators,51-5112.00
Sports Medicine Physicians,29-1069.11
"Electronics Engineers, Except Computer",17-2072.00
Medical Records and Health Information Technicians,29-2071.00
Industrial Engineering Technicians,17-3026.00
Occupational Health and Safety Specialists,29-9011.00
Actors,27-2011.00
Fashion Designers,27-1022.00
Mine Cutting and Channeling Machine Operators,47-5042.00
Credit Analysts,13-2041.00
"Electrical and Electronics Installers and Repairers, Transportation Equipment",49-2093.00
Adult Basic and Secondary Education and Literacy Teachers and Instructors,25-3011.00
Logging Equipment Operators,45-4022.00
"Environmental Science and Protection Technicians, Including Health",19-4091.00
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",51-6091.00
Pipelayers,47-2151.00
"Anthropology and Archeology Teachers, Postsecondary",25-1061.00
"Securities, Commodities, and Financial Services Sales Agents",41-3031.00
Shampooers,39-5093.00
Machine Feeders and Offbearers,53-7063.00
School Psychologists,19-3031.01
Anesthesiologists,29-1061.00
Brokerage Clerks,43-4011.00
"Business Teachers, Postsecondary",25-1011.00
Riggers,49-9096.00
Helpers--Roofers,47-3016.00
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25-1051.00
Acupuncturists,29-1199.01
Hearing Aid Specialists,29-2092.00
Jewelers,51-9071.01
"Psychologists, All Other",19-3039.00
"English Language and Literature Teachers, Postsecondary",25-1123.00
Validation Engineers,17-2199.02
Soil and Water Conservationists,19-1031.01
"First-Line Supervisors of Protective Service Workers, All Other",33-1099.00
"Mates- Ship, Boat, and Barge",53-5021.02
Cartographers and Photogrammetrists,17-1021.00
Financial Quantitative Analysts,13-2099.01
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",51-4023.00
"Captains, Mates, and Pilots of Water Vessels",53-5021.00
"Philosophy and Religion Teachers, Postsecondary",25-1126.00
"Legal Support Workers, All Other",23-2099.00
Neurologists,29-1069.04
Historians,19-3093.00
Insurance Policy Processing Clerks,43-9041.02
"Precision Instrument and Equipment Repairers, All Other",49-9069.00
Transportation Security Screeners,33-9093.00
Legislators,11-1031.00
Molding and Casting Workers,51-9195.07
Forest and Conservation Workers,45-4011.00
Home Appliance Repairers,49-9031.00
Food Batchmakers,51-3092.00
Genetic Counselors,29-9092.00
Geneticists,19-1029.03
Water Resource Specialists,11-9121.02
"Education, Training, and Library Workers, All Other",25-9099.00
"Insulation Workers, Mechanical",47-2132.00
Solar Thermal Installers and Technicians,47-4099.02
Mechanical Door Repairers,49-9011.00
Critical Care Nurses,29-1141.03
Automotive Glass Installers and Repairers,49-3022.00
Geodetic Surveyors,17-1022.01
Electrical Engineering Technologists,17-3029.02
Fire Inspectors and Investigators,33-2021.00
"Installation, Maintenance, and Repair Workers, All Other",49-9099.00
Credit Authorizers,43-4041.01
Fish and Game Wardens,33-3031.00
"Designers, All Other",27-1029.00
Motorcycle Mechanics,49-3052.00
